Question,Answer,Tag
"What are the core principles for processing personal data under the GDPR?","Personal data must be processed lawfully, fairly, and transparently. It must be collected for specified, explicit, and legitimate purposes, limited to what is necessary, accurate, kept up-to-date, and stored only as long as necessary while ensuring security and confidentiality.","General Business, GDPR Principles, Priority High"
"When must a personal data breach be reported to the supervisory authority?","Breaches must currently be reported within 72 hours unless unlikely to result in risk. Proposed reforms suggest increasing the deadline to 96 hours and raising the threshold to only include breaches likely to result in a ""high risk"" to individuals.","Legal Teams, Data Breach, Priority High"
"What are the transparency requirements for high-risk AI systems?","Providers must design systems to be sufficiently transparent for deployers to understand operations. They must provide instructions for use, technical documentation, and information allowing deployers to explain AI-driven decisions to users.","Legal Teams, EU AI Act, Priority High"
"What constitutes a ""Prohibited"" AI system under the EU AI Act?","Banned systems include those using subliminal or manipulative techniques causing harm, social scoring by public authorities, untargeted facial recognition scraping, and biometric categorisation inferring sensitive attributes like race or political opinions.","General Business, EU AI Act, Priority High"
"When is a Data Protection Impact Assessment (DPIA) mandatory for AI projects?","A DPIA is mandatory for high-risk processing, including biometric data processing, large-scale automated decision-making, or using new technologies that pose high risks to the rights and freedoms of individuals.","Legal Teams, DPIA, Priority High"
"How does the California Transparency in Frontier AI Act (TFAIA) define ""catastrophic harm""?","It refers to foreseeable and material risks resulting in the death or serious injury of more than 50 people, or over USD $1 billion in property damage, including risks from weapons creation or autonomous cyberattacks.","Legal Teams, TFAIA, Priority High"
"Can personal data be used to train AI models under the legitimate interests legal basis?","Yes, proposed reforms explicitly recognise processing for AI training based on legitimate interests, provided controllers implement protective measures like data minimisation, security, and the right to object.","General Business, AI Training, Priority Medium"
"What is the ""Right to Explanation"" regarding AI decisions?","Individuals have the right to understand the reasoning behind decisions made through automated processing. AI systems must be transparent and provide understandable methodologies for their decision-making logic.","General Business, Transparency, Priority Medium"
"How does the proposed EU reform affect cookie consent requirements?","The reform aims to reduce ""cookie fatigue"" by exempting certain technical or audience measurement cookies from consent. It proposes single-click ""reject"" buttons and respecting opt-outs for at least six months.","General Business, Consent, Priority Medium"
"What are the new whistleblower protections for AI risk management employees in California?","Developers are prohibited from retaliating against employees disclosing dangers to public health or safety. Large developers must provide anonymous reporting processes; successful plaintiffs may be entitled to attorney's fees.","General Business, TFAIA, Priority Medium"
